Address,LAT,LONG,Price_per_perch,Road,City,School,Hospital,index
"No 333/2,thewaththa rd,koralaima,Gonapola junction",6.772214412,80.00206542,6.12,450.00,4967.00,8304.00,3263.00,66
piliyandala,6.808384578,79.94822211,6.44,380.00,1625.00,3029.00,2870.00,67
piliyandala,6.821530501,79.94561433,7.76,540.00,1387.00,2677.00,2955.00,68
piliyandala,6.790656929,79.91492284,8.69,350.00,863.00,1333.00,1739.00,69
piliyandala,6.788933912,79.92753699,6.02,540.00,1524.00,1374.00,1781.00,70
Piliyandala,6.818742002,79.93147218,13.77,400.00,534.00,2311.00,1729.00,71
Piliyandala,6.815733083,79.90950701,8.12,550.00,981.00,2245.00,1243.00,72
Piliyandala,6.821048661,79.93170148,8.03,950.00,727.00,2554.00,1948.00,73
Piliyandala,6.810860418,79.91374515,7.53,550.00,972.00,1527.00,877.00,74
Piliyandala,6.788822065,79.92935935,7.98,300.00,1489.00,1483.00,1863.00,75
piliyandala,6.791976249,79.93150723,8.22,530.00,1115.00,1369.00,1673.00,76
piliyandala,6.840041117,79.91368275,8.24,450.00,1337.00,1790.00,701.00,77
Piliyandala,6.800202225,79.97275543,4.48,730.00,3540.00,5320.00,1645.00,78
piliyandala,6.776762051,79.93479497,8.89,60.00,1190.00,2948.00,3335.00,79
Piliyandala,6.797034701,79.95138273,10.38,220.00,1189.00,3256.00,3019.00,80
piliyandala,6.809570347,79.93231883,13.07,130.00,696.00,1534.00,1218.00,81
piliyandala,6.79452838,79.93443168,10.93,150.00,719.00,1488.00,1687.00,82
Piliyandala  Kahathuduwa,6.783739796,79.99673064,5.47,400.00,5348.00,8040.00,2309.00,83
piliyandala  makandana,6.775110079,79.95113575,8.91,170.00,516.00,4248.00,3019.00,84
Piliyandala / kesbewa,6.776881336,79.94779145,9.22,300.00,282.00,3839.00,3300.00,85
piliyandala /Miriswatta,6.817502592,79.93572516,10.95,240.00,265.00,2446.00,1979.00,86
Piliyandala |  Kahathuduwa,6.78395628,79.9979719,5.42,700.00,5487.00,8001.00,2445.00,87
